DRUG,BASECONDITION,SYMPTOM,HISTORY,CO_MORBIDITY,TARGET_GROUP,text
Clozapine,Schizophrenia,suicidal behavior,standard antipsychotics ,,,Clozapine is indicated for the treatment of severely ill patients with schizophrenia who fail to respond adequately to standard antipsychotic treatment
Clonidine,severe pain,Neuropathic Pain ,opioid analgesic,cancer,,Clonidine hydrochloride injection is indicated in combination with opiates for the treatment of severe pain in cancer patients that is not adequately relieved by opioid analgesics alone
Celecoxib,Acute pain,,,,adults,For the management of acute pain in adults
Donepezil,Alzheimer's disease,,,,,ARICEPT® is indicated for the treatment of dementia of the Alzheimer's type.
Busiprone,Anxiety,,,,,Buspirone hydrochloride tablets are indicated for the management of anxiety disorders or the short-term relief of the symptoms of anxiety. Anxiety or tension associated with the stress of everyday life usually does not require treatment with an anxiolytic.
Lithium Carbonate,Bipolar Disorder,Manic Episode,,,,Lithium Carbonate Extended-Release Tablets USP are indicated in the treatment of manic episodes of Bipolar Disorder.
Memantine,Alzheimer's disease,"{'severe dementia', 'moderate dementia'}",,,,Memantine hydrochloride oral solution is indicated for the treatment of moderate to severe dementia of the Alzheimer's type.
Clonazepam,"{'myoclonic seizures', 'akinetic seizures', 'Lennox-Gastaut Syndrome'}",,,,,"Clonazepam is useful alone or as an adjunct in the treatment of the Lennox-Gastaut syndrome (petit mal variant), akinetic and myoclonic seizures."
Clonazepam,Panic Disorder,,,,,"Clonazepam is indicated for the treatment of panic disorder, with or without agoraphobia, as defined in DSM-IV"
Venlafaxine,Major Depressive Disorder,,,,,"Venlafaxine tablets, USP are indicated for the treatment of major depressive disorder."
Erenumab,Migraine,,,,adults,AIMOVIG is indicated for the preventive treatment of migraine in adults.
Cyclobenzaprine,muscle spasm,"{'tenderness', 'Pain', 'limitation of motion'}",,,,"AMRIX® (cyclobenzaprine hydrochloride extended-release capsules) is indicated as an adjunct to rest and physical therapy for relief of muscle spasm associated with acute, painful musculoskeletal conditions."
Amphetamine,Narcolepsy,,,,,"Amphetamine sulfate tablets, USP 5 mg and 10 mg are indicated for: Narcolepsy"
Amphetamine,ADHD,,,,,"Amphetamine sulfate tablets, USP 5 mg and 10 mg are indicated for: Attention Deficit Disorder with Hyperactivity as an integral part of a total treatment program which typically includes other remedial measures (psychological, educational, social) for a stabilizing effect in children with behavioral syndrome characterized by the following group of developmentally inappropriate symptoms: moderate to severe distractibility, short attention span, hyperactivity, emotional lability, and impulsivity. The diagnosis of the syndrome should not be made with finality when these symptoms are only of comparatively recent origin. Nonlocalizing (soft) neurological signs, learning disability, and abnormal EEG may or may not be present, and a diagnosis of central nervous system dysfunction may or not be warranted."
Methylphenidate,ADHD,"{'hyperactivity', 'distractibility', 'emotional lability', 'short attention span', 'impulsivity'}",,,,"Methylphenidate Hydrochloride is indicated as an integral part of a total treatment program which typically includes other remedial measures (psychological, educational, social) for a stabilizing effect in children with a behavioral syndrome characterized by the following group of developmentally inappropriate symptoms: moderate-to-severe distractibility, short attention span, hyperactivity, emotional lability, and impulsivity"
Methylphenidate,Narcolepsy,,,,,"Indications and Usage: Attention Deficit Disorders, Narcolepsy"
Lamotrigine,Epilepsy,"{'primary generalized tonic-clonic (PGTC) seizures', 'Lennox-Gastaut Syndrome', 'Partial-onset seizures'}",,,2,Lamotrigine tablets are indicated as adjunctive therapy for the following seizure types in patients aged 2 years and older
Lamotrigine,Partial-onset seizures,,,,16,"Lamotrigine tablets are indicated for conversion to monotherapy in adults (aged 16 years and older) with partial-onset seizures who are receiving treatment with carbamazepine, phenytoin, phenobarbital, primidone, or valproate as the single antiepileptic drug (AED)."
